id_a,name_a,category_a,source_a,id_b,name_b,category_b,source_b,distance_m,coordinate_basis_a,coordinate_basis_b,rule,priority,status,reason,action
osm-node-11420251609,セブン-イレブン,convenience,node/11420251609,osm-node-4826868298,セブン-イレブン,convenience,node/4826868298,893.8,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-11420251609,セブン-イレブン,convenience,node/11420251609,osm-way-401695611,セブン-イレブン,convenience,way/401695611,310.1,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-12376670726,おかもと内閣,clinic,node/12376670726,osm-node-3809385357,香田整形外科,clinic,node/3809385357,58.6,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-13019068190,ローソン,convenience,node/13019068190,osm-node-3799245557,ローソン,convenience,node/3799245557,779.9,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13144890065,セブン-イレブン,convenience,node/13144890065,osm-node-4107556704,セブン-イレブン,convenience,node/4107556704,932.6,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13144890065,セブン-イレブン,convenience,node/13144890065,osm-node-5456594526,セブン-イレブン,convenience,node/5456594526,917.4,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13154614554,セブン-イレブン,convenience,node/13154614554,osm-node-13154614555,セブン-イレブン,convenience,node/13154614555,126.3,original_node,original_node,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-13154614554,セブン-イレブン,convenience,node/13154614554,osm-node-13154614556,セブン-イレブン,convenience,node/13154614556,65.0,original_node,original_node,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-13154614554,セブン-イレブン,convenience,node/13154614554,osm-node-2252806318,セブン-イレブン,convenience,node/2252806318,214.5,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13154614554,セブン-イレブン,convenience,node/13154614554,osm-way-392705544,セブン-イレブン,convenience,way/392705544,469.2,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13154614555,セブン-イレブン,convenience,node/13154614555,osm-node-13154614556,セブン-イレブン,convenience,node/13154614556,123.4,original_node,original_node,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-13154614555,セブン-イレブン,convenience,node/13154614555,osm-node-2252806318,セブン-イレブン,convenience,node/2252806318,88.2,original_node,original_node,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-13154614555,セブン-イレブン,convenience,node/13154614555,osm-node-2303175278,セブン-イレブン,convenience,node/2303175278,935.8,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13154614555,セブン-イレブン,convenience,node/13154614555,osm-way-392705544,セブン-イレブン,convenience,way/392705544,515.3,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13154614556,セブン-イレブン,convenience,node/13154614556,osm-node-2252806318,セブン-イレブン,convenience,node/2252806318,203.0,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13154614556,セブン-イレブン,convenience,node/13154614556,osm-node-2303175278,セブン-イレブン,convenience,node/2303175278,970.6,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13154614556,セブン-イレブン,convenience,node/13154614556,osm-way-392705544,セブン-イレブン,convenience,way/392705544,415.5,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-13651735831,Aコープ安下庄店,supermarket,node/13651735831,osm-way-1489391560,Aコープ安下庄店,supermarket,way/1489391560,2.2,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-13651893749,セブンイレブン山口大島橘店,convenience,node/13651893749,osm-way-1489414443,セブンイレブン山口大島橘店,convenience,way/1489414443,1.3,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-13651969772,中本ストアー,convenience,node/13651969772,osm-way-1489413022,中本ストアー,convenience,way/1489413022,0.5,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-1423654264,光輝会光輝病院,hospital,node/1423654264,osm-way-722384492,光輝会 光輝病院,hospital,way/722384492,62.7,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-1423654575,和同会宇部温泉病院,hospital,node/1423654575,osm-node-1423654578,和同会片倉病院,hospital,node/1423654578,0.0,original_node,original_node,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-1423655821,山口県立中央病院,hospital,node/1423655821,osm-way-475283657,山口県立総合医療センター,hospital,way/475283657,12.1,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-1423659775,済生会山口総合病院,hospital,node/1423659775,osm-way-474111005,済生会山口総合病院,hospital,way/474111005,13.8,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-2252806318,セブン-イレブン,convenience,node/2252806318,osm-node-2303175278,セブン-イレブン,convenience,node/2303175278,874.3,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2252806318,セブン-イレブン,convenience,node/2252806318,osm-way-392705544,セブン-イレブン,convenience,way/392705544,558.2,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2253194966,セブン-イレブン,convenience,node/2253194966,osm-node-2253197417,セブン-イレブン,convenience,node/2253197417,643.5,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2253194966,セブン-イレブン,convenience,node/2253194966,osm-way-1540363416,セブン-イレブン,convenience,way/1540363416,475.0,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2253194966,セブン-イレブン,convenience,node/2253194966,osm-way-316211441,セブン-イレブン,convenience,way/316211441,667.0,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2253194966,セブン-イレブン,convenience,node/2253194966,osm-way-405934628,セブン-イレブン,convenience,way/405934628,610.6,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2253197417,セブン-イレブン,convenience,node/2253197417,osm-way-215910952,セブンイレブン山口今井町店,convenience,way/215910952,1.3,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-2253197417,セブン-イレブン,convenience,node/2253197417,osm-way-405934628,セブン-イレブン,convenience,way/405934628,727.1,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2253691125,コープやまぐち,supermarket,node/2253691125,osm-way-202793094,コープやまぐち,supermarket,way/202793094,6.8,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-2303175278,セブン-イレブン,convenience,node/2303175278,osm-way-392705544,セブン-イレブン,convenience,way/392705544,910.0,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-2527628179,マルキュウ,supermarket,node/2527628179,osm-way-1069977638,山口銀行 丸久川西店,supermarket,way/1069977638,1.4,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3596474500,マックスバリュ,supermarket,node/3596474500,osm-node-4326408489,マックスバリュ,supermarket,node/4326408489,512.9,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3716209175,セブンイレブン,convenience,node/3716209175,osm-node-7329014485,セブンイレブン,convenience,node/7329014485,967.6,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3716209175,セブンイレブン,convenience,node/3716209175,osm-way-391864150,セブンイレブン,convenience,way/391864150,430.0,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3799039405,アルク,supermarket,node/3799039405,osm-way-327749958,Aruk,supermarket,way/327749958,5.6,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3799245557,ローソン,convenience,node/3799245557,osm-way-335847905,ローソン,convenience,way/335847905,366.5,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3812551757,広田眼科,clinic,node/3812551757,osm-way-311996791,広田皮膚科,clinic,way/311996791,44.8,original_node,saved_representative_point,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3813311158,ファミリーマート,convenience,node/3813311158,osm-way-382245225,ファミリーマート,convenience,way/382245225,806.4,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3815583957,山下内科小児科,clinic,node/3815583957,osm-node-3815584060,早川整形外科,clinic,node/3815584060,59.8,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3822041059,セブンイレブン,convenience,node/3822041059,osm-way-549554514,セブンイレブン,convenience,way/549554514,957.8,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3844405175,ローソン,convenience,node/3844405175,osm-way-163607849,ローソン,convenience,way/163607849,411.9,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3844415774,セブンイレブン,convenience,node/3844415774,osm-node-3846496960,セブンイレブン,convenience,node/3846496960,439.6,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3844415774,セブンイレブン,convenience,node/3844415774,osm-node-6014468885,セブンイレブン,convenience,node/6014468885,836.4,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3844415774,セブンイレブン,convenience,node/3844415774,osm-way-312146297,セブンイレブン,convenience,way/312146297,599.8,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3846496960,セブンイレブン,convenience,node/3846496960,osm-node-6014468885,セブンイレブン,convenience,node/6014468885,527.9,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3846496960,セブンイレブン,convenience,node/3846496960,osm-way-312146297,セブンイレブン,convenience,way/312146297,601.0,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3846496960,セブンイレブン,convenience,node/3846496960,osm-way-314789355,セブンイレブン,convenience,way/314789355,887.2,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3846496960,セブンイレブン,convenience,node/3846496960,osm-way-338243027,セブンイレブン,convenience,way/338243027,813.5,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3889811357,セブンイレブン,convenience,node/3889811357,osm-node-3890162059,セブンイレブン,convenience,node/3890162059,948.5,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3889811357,セブンイレブン,convenience,node/3889811357,osm-way-314369319,セブンイレブン,convenience,way/314369319,996.8,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3890041761,ハートデンタル,clinic,node/3890041761,osm-node-3890044459,宮里クリニック,clinic,node/3890044459,65.1,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3890162059,セブンイレブン,convenience,node/3890162059,osm-way-314369319,セブンイレブン,convenience,way/314369319,310.6,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3890162130,ローソン,convenience,node/3890162130,osm-node-3908813968,ローソン,convenience,node/3908813968,337.3,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3890213959,ファミリーマート,convenience,node/3890213959,osm-way-314358539,ファミリーマート,convenience,way/314358539,613.8,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3890213959,ファミリーマート,convenience,node/3890213959,osm-way-381165992,ファミリーマート,convenience,way/381165992,905.7,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3913901858,ファミリーマート,convenience,node/3913901858,osm-node-3926469160,ファミリーマート,convenience,node/3926469160,285.1,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3913971173,セブンイレブン,convenience,node/3913971173,osm-node-3925382594,セブンイレブン,convenience,node/3925382594,562.2,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3925382594,セブンイレブン,convenience,node/3925382594,osm-way-363127829,セブンイレブン,convenience,way/363127829,799.0,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3925382594,セブンイレブン,convenience,node/3925382594,osm-way-363844088,セブンイレブン,convenience,way/363844088,598.1,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3928694064,セブンイレブン,convenience,node/3928694064,osm-node-3929831557,セブンイレブン,convenience,node/3929831557,990.9,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3928694064,セブンイレブン,convenience,node/3928694064,osm-way-363844088,セブンイレブン,convenience,way/363844088,835.8,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3936977750,セブンイレブン,convenience,node/3936977750,osm-node-4002020489,セブンイレブン,convenience,node/4002020489,694.4,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3936977750,セブンイレブン,convenience,node/3936977750,osm-way-369542670,セブンイレブン,convenience,way/369542670,978.5,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3951221857,マックスバリュ,supermarket,node/3951221857,osm-node-3951221858,イオン柳井新庄SC,supermarket,node/3951221858,65.2,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3951273760,ファミリーマート,convenience,node/3951273760,osm-way-391864150,セブンイレブン,convenience,way/391864150,68.7,original_node,saved_representative_point,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3985385679,セブンイレブン,convenience,node/3985385679,osm-node-4002020489,セブンイレブン,convenience,node/4002020489,841.7,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3985872375,ローソン,convenience,node/3985872375,osm-node-4311258189,ローソン,convenience,node/4311258189,737.9,original_node,original_node,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3987165058,岡藤内科,clinic,node/3987165058,osm-node-3987166157,小林耳鼻咽喉科,clinic,node/3987166157,71.3,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-3987270457,マルエス,supermarket,node/3987270457,osm-way-371667244,マルエス,supermarket,way/371667244,892.3,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-3987888378,梶原眼科,clinic,node/3987888378,osm-node-3987921290,しげおか医院,clinic,node/3987921290,72.6,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-4001921801,ファミリーマート,convenience,node/4001921801,osm-way-369685157,ファミリーマート,convenience,way/369685157,508.3,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-4001921801,ファミリーマート,convenience,node/4001921801,osm-way-390551816,ファミリーマート,convenience,way/390551816,557.3,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-4021833491,マックスバリュ,supermarket,node/4021833491,osm-node-4021864894,イオン下松山田SC,supermarket,node/4021864894,63.8,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-4041096304,しみず医院,clinic,node/4041096304,osm-way-401697682,手山産婦人科,clinic,way/401697682,42.8,original_node,saved_representative_point,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-4041110344,ザ・ビッグ,supermarket,node/4041110344,osm-way-357029138,ザ・ビッグ,supermarket,way/357029138,952.6,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-4098795892,ファミリーマート,convenience,node/4098795892,osm-way-407846298,ファミリーマート山口泉都町店,convenience,way/407846298,16.2,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-4098795892,ファミリーマート,convenience,node/4098795892,osm-way-842044096,ファミリーマート,convenience,way/842044096,702.2,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-4107556704,セブン-イレブン,convenience,node/4107556704,osm-node-5456594526,セブン-イレブン,convenience,node/5456594526,32.9,original_node,original_node,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-4107556704,セブン-イレブン,convenience,node/4107556704,osm-way-352906170,セブン-イレブン,convenience,way/352906170,223.7,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-4315692495,セブンイレブン,convenience,node/4315692495,osm-way-315713904,セブンイレブン,convenience,way/315713904,54.3,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-4326392992,しみず医院,clinic,node/4326392992,osm-node-4326408491,高橋眼科,clinic,node/4326408491,74.4,original_node,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
